feature	MGYG000000002	MGYG000000003	MGYG000000004	MGYG000000013	MGYG000000022	MGYG000000076	MGYG000000106	MGYG000000215	MGYG000000756	MGYG000001881	MGYG000002323
A K21512	0	0	0	0	0	0	0	0	0	0	1
ABC-SBP K01989	0	0	0	0	0	0	1	0	0	0	0
AKN40_0794	0	0	0	0	0	0	0	0	0	0	1
ATP5A1 K02132	0	0	0	0	0	0	0	0	0	0	1
ArtM K02029 K02030	1	0	0	0	1	1	0	0	0	0	0
B4168_4126 K07493	0	0	0	0	0	0	4	0	0	0	0
BB2227	0	0	1	0	0	0	0	0	0	0	0
BT0173	0	0	0	0	0	0	0	0	0	1	0
BT0174 K04488	0	0	0	0	0	0	0	0	0	1	0
BT4646	0	0	0	0	0	1	0	0	0	0	0
CNX1G K00616 K13168 K15376	0	0	0	0	0	0	0	0	0	0	2
CP_0623 K01153 K09760 K12132	0	0	0	0	0	0	0	0	0	0	1
CP_1117 K18827	0	0	0	0	0	0	0	1	0	0	0
CbpA K05516	1	0	0	0	0	1	0	0	0	0	0
Dcc	0	1	0	0	0	0	0	0	0	0	0
EbsC	0	0	1	0	0	1	0	0	0	0	0
FI K06907	0	0	0	0	0	0	0	0	0	0	1
FII K06908	0	0	0	0	0	0	0	0	0	0	2
FbpA	1	0	1	0	1	1	1	0	0	0	0
FcbC K07107	0	0	0	0	0	1	0	0	0	0	0
GJ11_17070	0	0	0	0	0	0	0	0	0	0	1
GJ12_01675	0	0	0	0	0	0	0	0	0	0	1
GJ12_03320	0	0	0	0	0	0	0	0	0	0	1
GcvP	1	0	0	0	0	1	0	0	0	0	0
GntR	1	0	0	0	0	1	0	0	0	0	0
H	0	0	0	0	0	0	0	0	0	0	1
HIS4 K00817 K01693 K01772 K01814 K11755 K14152	0	0	0	0	0	0	0	0	0	0	2
I	0	0	0	0	0	0	0	0	0	0	1
J	0	0	0	0	0	0	0	0	0	0	1
JD73_00810 K00666	0	0	0	0	0	0	0	0	0	0	2
JD73_00825 K00652	0	0	0	0	0	0	0	0	0	0	1
JD73_00840 K07109	0	0	0	0	0	0	0	0	0	0	1
JD73_00845	0	0	0	0	0	0	0	0	0	0	1
JD73_18735	0	0	0	0	0	0	0	0	0	0	3
JD73_18850 K21511	0	0	0	0	0	0	0	0	0	0	1
JD73_18875	0	0	0	0	0	0	0	0	0	0	1
JD73_18905	0	0	0	0	0	0	0	0	0	0	1
JD73_18910	0	0	0	0	0	0	0	0	0	0	2
JD73_18915	0	0	0	0	0	0	0	0	0	0	1
JD73_20480	0	0	0	0	0	0	0	0	0	0	1
JD73_21370	0	0	0	0	0	0	0	0	0	0	1
K00001	0	0	1	0	0	0	0	0	0	2	0
K00001 K00344	0	0	0	0	0	0	1	0	0	0	0
K00002	1	0	0	0	0	0	0	0	0	0	0
K00003	0	0	0	0	0	0	0	0	0	1	0
K00005	0	0	0	0	0	0	1	0	0	0	0
K00008	2	0	1	0	0	0	0	0	0	0	0
K00008 K00060	0	0	2	0	0	0	0	0	0	0	0
K00009 K00041	0	0	0	0	1	0	0	0	0	0	0
K00010	0	0	1	0	0	0	0	0	0	0	0
K00012	3	1	0	0	0	0	0	0	0	1	1
K00016 K00024	0	0	1	0	0	0	0	0	0	0	0
K00018	2	0	1	0	0	1	1	0	0	0	0
K00018 K00058	0	0	0	0	1	0	0	0	0	0	0
K00020 K19647	0	0	1	0	0	0	0	0	0	0	0
K00024	0	0	0	0	0	0	0	0	0	1	0
K00027	1	0	1	1	1	0	1	0	0	0	0
K00029	0	0	0	0	0	0	0	0	0	1	0
K00030	0	0	1	0	0	0	0	0	0	0	0
K00031	0	0	0	0	0	0	0	0	0	1	0
K00033	0	0	0	0	0	0	1	0	0	0	0
K00034	0	1	0	0	0	0	0	0	0	0	0
K00040	1	0	0	0	1	2	0	0	0	0	0
K00041	0	0	0	0	0	1	0	0	0	0	0
K00046	0	0	0	0	2	1	0	0	0	0	0
K00053	0	0	0	0	0	0	0	0	0	1	0
K00058	0	1	2	0	0	0	1	1	0	1	1
K00059	0	0	0	0	0	1	0	0	1	1	0
K00065	0	0	0	0	0	0	0	0	1	0	0
K00067	0	0	0	0	1	0	0	0	0	1	0
K00074	0	0	0	0	0	0	0	0	2	0	0
K00077	1	0	1	0	3	0	0	0	1	1	0
K00088	0	0	0	0	0	0	0	0	0	1	0
K00091	0	0	0	0	2	0	0	0	0	0	0
K00096	0	1	0	0	0	0	0	0	0	0	0
K00097	0	0	0	0	0	0	0	0	0	1	0
K00104	0	0	0	0	0	0	0	0	0	1	0
K00111	0	0	0	0	0	1	0	0	0	0	0
K00123	0	0	0	0	0	1	0	0	0	0	0
K00124 K07307	0	0	1	0	0	0	0	0	0	0	0
K00127	0	0	1	0	0	0	0	0	0	0	0
K00134	0	0	0	0	0	0	0	0	0	1	0
K00158	0	0	0	0	0	0	1	0	0	0	0
K00161	0	0	0	0	0	0	0	0	0	1	0
K00162	0	0	0	0	0	0	0	0	0	1	0
K00164	0	0	0	0	0	0	0	0	0	1	0
K00169	0	0	1	0	0	0	0	0	0	0	0
K00169 K00170	0	0	0	0	0	1	0	0	0	0	0
K00170	0	0	1	0	0	0	0	0	0	0	0
K00171	0	0	1	0	0	0	0	0	0	0	0
K00172	0	0	1	0	0	1	0	0	0	0	0
K00175	0	0	1	0	0	0	0	0	0	0	0
K00176	0	0	1	0	0	0	0	0	0	0	0
K00176 K07138	0	0	0	0	0	0	0	0	0	1	0
K00177	0	0	1	0	0	0	0	0	0	0	0
K00184	0	0	0	0	0	0	0	0	0	1	0
K00185	0	0	0	0	0	0	0	0	0	2	0
K00208	0	0	0	0	0	0	0	0	0	1	0
K00228	0	0	0	0	0	0	0	0	0	0	1
K00239	0	0	0	0	0	0	0	0	0	1	0
K00239 K00244	0	0	0	0	1	0	0	0	0	0	0
K00239 K00244 K17363	1	0	0	0	0	0	0	0	0	0	0
K00240	0	0	1	0	0	0	0	0	0	1	0
K00241	0	0	0	0	0	0	0	0	0	1	0
K00244 K19784	0	0	0	0	0	0	1	0	0	0	0
K00244 K19784 K22394	0	0	0	0	0	0	1	0	0	0	0
K00262	0	0	0	0	0	0	0	0	0	1	0
K00265	0	0	0	0	0	0	0	0	0	1	0
K00266	0	0	0	0	1	0	0	0	0	0	0
K00278	0	0	0	0	0	0	0	0	0	1	0
K00285	0	0	0	0	0	0	0	0	0	0	1
K00287	0	0	0	0	0	0	0	0	0	1	0
K00290	0	0	0	0	0	0	0	0	0	1	0
K00297	0	0	0	0	0	0	0	0	0	1	0
K00297 K00547	0	0	1	0	1	0	0	0	0	0	0
K00323	0	0	0	0	0	0	0	0	0	0	1
K00334	1	0	0	0	0	0	0	0	0	0	0
K00335	1	0	0	0	0	0	0	0	0	1	0
K00336	0	0	0	0	0	0	0	0	0	1	0
K00336 K18332	1	0	1	0	0	0	0	0	0	0	0
K00339	0	0	0	0	0	0	0	0	0	1	0
K00341	0	0	0	0	0	0	0	0	0	1	0
K00342	0	0	0	0	0	0	0	0	0	1	0
K00375	1	0	0	0	1	1	0	0	0	0	0
K00380	0	0	0	0	0	0	0	0	0	2	0
K00381	0	0	0	0	0	0	0	0	0	1	0
K00382	0	0	1	0	0	0	0	0	0	2	0
K00384	1	0	0	0	1	0	0	0	1	1	0
K00390	0	0	0	0	0	1	0	0	0	1	0
K00425	0	0	0	0	0	0	0	0	0	2	0
K00428	0	0	0	0	0	0	0	0	0	1	0
K00432	0	0	0	0	0	1	0	0	0	0	0
K00491 K21572	0	1	0	0	0	0	0	0	0	0	0
K00508	0	0	0	0	0	0	0	0	0	0	1
K00525	0	0	0	0	0	0	0	0	0	1	0
K00533	0	0	1	0	0	1	0	0	0	0	0
K00537	0	0	0	1	0	0	0	0	0	1	0
K00548	1	0	2	0	0	0	0	0	0	2	0
K00549	0	0	0	0	0	0	0	0	2	0	0
K00558	3	0	2	0	0	2	1	1	0	1	0
K00558 K01155	0	0	1	0	0	0	0	0	0	0	0
K00560	0	0	0	0	0	0	0	0	0	1	0
K00561	0	0	0	0	0	0	0	1	0	0	0
K00563	0	0	0	0	1	0	0	0	0	0	0
K00567	1	0	1	0	0	0	0	0	0	1	0
K00568	0	1	0	0	0	0	0	0	0	0	0
K00571	1	1	0	2	0	0	0	1	0	2	0
K00590	0	0	0	0	1	0	0	0	0	0	0
K00602	0	0	0	0	0	0	0	0	0	1	0
K00615	6	0	5	0	0	0	0	0	0	1	0
K00616	1	0	0	0	0	0	0	0	0	0	0
K00625	0	0	0	0	0	0	0	0	0	1	0
K00625 K00634	0	0	0	1	0	0	0	0	0	0	0
K00627	0	0	0	0	0	0	0	0	0	2	0
K00633 K00661	0	0	0	0	0	0	0	0	2	0	0
K00634	0	0	1	0	0	0	0	0	0	0	0
K00634 K07729	0	1	0	0	0	0	0	0	0	0	0
K00639	0	1	0	0	0	0	0	0	0	0	0
K00640	0	0	1	1	0	0	0	0	0	1	0
K00641	0	0	0	0	0	0	0	0	0	2	0
K00645	0	0	0	0	0	0	0	0	0	1	0
K00648	0	0	0	0	0	0	0	0	0	0	1
K00652	0	0	0	0	0	0	0	0	0	1	0
K00655	1	0	0	0	0	1	0	0	0	1	0
K00656	0	0	0	1	0	0	0	0	0	1	0
K00656 K20038	1	0	0	0	0	0	0	0	0	0	0
K00657	0	0	0	0	1	0	2	0	0	0	0
K00658	0	0	0	0	0	0	0	0	0	1	0
K00661	2	1	1	2	0	0	0	0	0	1	0
K00666	0	0	1	1	0	0	0	0	0	0	0
K00674	0	0	0	1	0	0	0	0	0	0	0
K00683	0	1	0	0	0	0	0	0	0	0	0
K00688	0	0	0	0	0	0	0	0	0	1	0
K00690 K21350	0	0	0	0	0	1	0	0	0	0	0
K00691	0	2	0	0	0	0	0	0	0	0	0
K00691 K04844 K10231	0	0	0	0	0	1	0	0	0	0	0
K00693	0	0	0	1	0	0	0	1	0	0	0
K00700	0	0	0	0	0	0	0	0	0	1	0
K00702	1	0	0	0	1	1	0	0	0	0	0
K00703	0	0	0	0	0	1	0	0	0	0	0
K00705	0	0	1	0	2	0	0	0	0	1	0
K00721	1	0	0	1	0	0	0	0	0	0	0
K00721 K00786	0	0	0	0	0	0	0	0	0	0	1
K00728	0	0	1	0	0	0	0	0	0	0	0
K00748	0	0	0	0	0	0	0	0	0	1	0
K00754	0	0	0	0	0	0	0	1	0	0	0
K00759	0	0	0	0	1	0	0	0	0	0	0
K00760	0	0	0	0	0	0	0	0	0	1	0
K00762	0	0	1	0	1	0	0	0	0	0	0
K00764	0	0	0	0	0	0	0	0	0	2	0
K00767	0	0	0	0	0	0	0	0	0	2	0
K00783	0	0	0	0	0	0	0	0	0	1	0
K00786	0	0	0	1	0	2	0	2	0	0	0
K00788	0	0	0	0	0	0	0	0	0	1	0
K00790	0	0	0	0	0	0	0	0	0	1	0
K00793	0	0	0	0	0	0	0	0	0	1	0
K00796	0	0	0	0	0	0	0	0	0	1	0
K00798	1	0	0	0	0	0	0	0	0	0	0
K00801	0	0	0	0	0	0	0	0	0	1	0
K00805	2	0	1	0	1	0	0	0	0	0	0
K00806	0	0	0	0	0	0	0	0	0	1	0
K00812	0	0	0	0	0	0	0	0	0	1	0
K00812 K08969 K10206 K14260 K14261	0	0	0	0	0	0	0	0	1	0	0
K00817	0	0	0	1	0	0	0	0	0	2	0
K00821	0	0	0	0	0	0	0	0	0	1	0
K00826	0	0	0	0	0	0	0	0	0	1	0
K00830	1	0	0	0	0	1	0	0	0	0	0
K00833	0	0	0	0	0	0	0	0	0	1	0
K00835	0	0	0	0	0	0	0	0	0	1	0
K00844	0	0	0	1	0	0	0	0	0	0	0
K00845	0	4	1	3	2	1	1	0	2	2	0
K00847	3	0	2	1	1	1	2	1	1	1	0
K00849	0	0	0	0	0	0	0	0	0	1	0
K00850	0	0	0	0	0	0	0	0	0	1	0
K00851	0	0	0	0	0	0	1	0	0	0	0
K00852	0	0	0	0	0	0	0	0	0	0	2
K00852 K00856 K10710 K22026	0	0	1	0	0	0	0	0	0	0	0
K00852 K16328	2	0	0	0	0	0	0	0	0	0	0
K00854	2	0	1	0	0	0	0	0	0	0	0
K00854 K00864	0	0	1	0	0	0	0	0	0	0	0
K00860	0	0	1	0	0	0	0	0	0	0	0
K00864	1	0	0	0	0	0	0	0	0	0	0
K00865	0	0	0	0	0	0	1	0	0	0	0
K00868	1	0	2	0	2	0	0	0	0	0	0
K00873	0	0	1	0	1	0	0	0	0	1	0
K00874	2	1	0	0	2	2	1	0	0	0	0
K00876	0	0	1	0	1	0	0	0	0	0	0
K00877 K00941 K02320 K08267 K12823	0	0	0	0	0	0	0	0	0	0	1
K00879	0	0	0	0	0	0	0	0	0	1	0
K00880	0	0	2	0	0	0	0	0	1	0	0
K00926	0	0	0	0	0	0	2	0	0	0	0
K00927	0	0	0	0	0	0	0	0	0	0	1
K00928	0	0	1	1	0	0	0	0	0	1	0
K00929	0	0	1	0	0	0	0	0	0	0	0
K00937	0	0	0	0	0	0	0	0	0	1	0
K00940	0	0	0	0	0	0	0	0	0	1	0
K00941	0	0	0	0	0	0	0	0	0	1	0
K00943	0	0	0	0	0	0	0	1	0	0	0
K00945	1	0	1	0	0	1	0	0	0	1	0
K00946	0	1	0	0	0	0	0	0	0	0	0
K00949	0	0	1	0	0	0	0	0	1	0	0
K00955	0	0	0	0	0	0	0	0	0	1	0
K00957	0	0	0	0	0	0	0	0	0	1	0
K00963	0	0	0	0	0	0	0	0	0	3	0
K00966	0	0	0	0	0	0	0	0	0	2	0
K00966 K16881	0	0	1	0	0	0	0	0	0	0	0
K00968	0	0	0	0	0	0	0	0	0	1	0
K00970	0	0	0	0	0	0	0	0	0	1	0
K00971	0	0	0	0	0	1	0	0	0	1	0
K00972	0	0	0	0	0	1	0	0	0	0	0
K00973	0	0	0	0	0	0	0	0	0	1	0
K00979	0	0	0	0	0	0	0	0	0	0	1
K00981	0	0	0	0	0	0	0	0	0	1	0
K00983	0	0	1	0	0	0	0	0	0	0	0
K00986	1	0	0	3	0	0	0	1	0	0	0
K00991	0	0	0	0	0	1	0	0	0	1	0
K00995	0	0	0	0	0	0	0	0	0	1	0
K00996	1	0	0	0	0	1	0	0	0	0	0
K01006	0	0	0	0	0	0	0	0	0	1	0
K01007	0	0	1	0	0	0	0	0	0	0	0
K01007 K08483	0	0	1	0	0	0	0	0	0	0	0
K01012	0	0	0	0	0	0	0	0	0	1	0
K01023	3	0	0	0	0	0	0	0	1	0	0
K01027	0	0	0	0	0	0	0	0	0	0	2
K01048	1	0	0	0	0	0	0	0	0	0	0
K01051	0	2	0	2	1	1	0	0	0	0	0
K01056	0	0	0	0	0	0	0	0	0	1	0
K01066	0	0	0	0	1	0	0	0	0	0	0
K01070	0	1	0	1	0	0	0	0	0	0	0
K01071	1	1	1	1	1	1	0	1	0	0	0
