#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000022_02129	411483.FAEPRAA2165_02588	1.23e-165	472.0	COG0805@1|root,COG0805@2|Bacteria,1U7N7@1239|Firmicutes,24KCD@186801|Clostridia	186801|Clostridia	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes	tatC	-	-	ko:K03118	ko03060,ko03070,map03060,map03070	M00336	-	-	ko00000,ko00001,ko00002,ko02044	2.A.64	-	-	TatC
MGYG000000022_01145	748224.HMPREF9436_01417	6.1e-294	810.0	COG2256@1|root,COG2256@2|Bacteria,1TPVV@1239|Firmicutes,247X2@186801|Clostridia,3WGT0@541000|Ruminococcaceae	186801|Clostridia	L	ATPase, AAA family	yrvN	-	-	ko:K07478	-	-	-	-	ko00000	-	-	-	AAA,AAA_assoc_2,MgsA_C,RuvB_N,Sigma54_activat
MGYG000000022_02715	411483.FAEPRAA2165_03461	3.8e-95	278.0	COG1959@1|root,COG1959@2|Bacteria,1V3QB@1239|Firmicutes,24JIV@186801|Clostridia,3WJN5@541000|Ruminococcaceae	186801|Clostridia	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	Rrf2
MGYG000000022_01669	657322.FPR_08890	5.64e-56	183.0	2EHNH@1|root,33BEA@2|Bacteria,1VQC1@1239|Firmicutes,24X4U@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_01843	411483.FAEPRAA2165_00509	4.57e-288	796.0	2E6QU@1|root,331B0@2|Bacteria,1VH06@1239|Firmicutes,24TEF@186801|Clostridia,3WQTH@541000|Ruminococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_00425	411483.FAEPRAA2165_01008	5.93e-113	325.0	COG0244@1|root,COG0244@2|Bacteria,1V3JJ@1239|Firmicutes,24G9R@186801|Clostridia,3WIH7@541000|Ruminococcaceae	186801|Clostridia	J	Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors	rplJ	-	-	ko:K02864	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L10
MGYG000000022_02697	411483.FAEPRAA2165_03259	9.7e-116	332.0	28MNW@1|root,2ZAYB@2|Bacteria,1UZY0@1239|Firmicutes,24E0J@186801|Clostridia,3WIQY@541000|Ruminococcaceae	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_00174	411483.FAEPRAA2165_02931	0.0	1000.0	COG2317@1|root,COG2317@2|Bacteria,1TPS6@1239|Firmicutes,249NK@186801|Clostridia,3WH6U@541000|Ruminococcaceae	186801|Clostridia	E	Broad specificity carboxypetidase that releases amino acids sequentially from the C-terminus, including neutral, aromatic, polar and basic residues	-	-	3.4.17.19	ko:K01299	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M32
MGYG000000022_02867	748224.HMPREF9436_02686	7.12e-206	572.0	COG4209@1|root,COG4209@2|Bacteria,1TP33@1239|Firmicutes,248XU@186801|Clostridia,3WHDQ@541000|Ruminococcaceae	186801|Clostridia	P	carbohydrate ABC transporter membrane protein 1 CUT1 family	-	-	-	ko:K17319	ko02010,map02010	M00603	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.29,3.A.1.1.9	-	-	BPD_transp_1
MGYG000000022_01378	411483.FAEPRAA2165_01515	3.34e-269	758.0	COG1453@1|root,COG1453@2|Bacteria,1TQ5N@1239|Firmicutes,247SD@186801|Clostridia,3WHHK@541000|Ruminococcaceae	186801|Clostridia	C	Psort location Cytoplasmic, score	-	-	-	ko:K07079	-	-	-	-	ko00000	-	-	-	Aldo_ket_red,Fer4_17,Fer4_9
MGYG000000022_00437	411483.FAEPRAA2165_00996	8.17e-242	665.0	COG0057@1|root,COG0057@2|Bacteria,1TNYU@1239|Firmicutes,247IZ@186801|Clostridia,3WGXW@541000|Ruminococcaceae	186801|Clostridia	C	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	gap	-	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	Gp_dh_C,Gp_dh_N
MGYG000000022_01340	411483.FAEPRAA2165_01557	1.45e-182	508.0	2BBZZ@1|root,325IJ@2|Bacteria,1URJQ@1239|Firmicutes,259G0@186801|Clostridia,3WQ3T@541000|Ruminococcaceae	186801|Clostridia	S	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10,FR47
MGYG000000022_01110	411483.FAEPRAA2165_02464	6.75e-179	500.0	COG3279@1|root,COG3279@2|Bacteria,1UYHU@1239|Firmicutes,24CBK@186801|Clostridia,3WRIR@541000|Ruminococcaceae	186801|Clostridia	K	LytTr DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	LytTR,Response_reg
MGYG000000022_01637	411483.FAEPRAA2165_00247	2.88e-158	444.0	COG1802@1|root,COG1802@2|Bacteria,1V90H@1239|Firmicutes,24B32@186801|Clostridia,3WQIB@541000|Ruminococcaceae	186801|Clostridia	K	Psort location Cytoplasmic, score 8.96	-	-	-	ko:K22293	-	-	-	-	ko00000,ko03000	-	-	-	FCD,GntR
MGYG000000022_02222	500632.CLONEX_01022	8.48e-170	488.0	COG0732@1|root,COG0732@2|Bacteria,1UJWU@1239|Firmicutes,24F40@186801|Clostridia	186801|Clostridia	V	type I restriction modification DNA specificity domain	-	-	3.1.21.3	ko:K01154	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Methylase_S
MGYG000000022_00894	411483.FAEPRAA2165_01335	3.28e-158	446.0	COG1191@1|root,COG1191@2|Bacteria,1TPDD@1239|Firmicutes,24A1H@186801|Clostridia,3WGQ0@541000|Ruminococcaceae	186801|Clostridia	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	sigG	-	-	ko:K03091	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r3,Sigma70_r4
MGYG000000022_00347	411483.FAEPRAA2165_01099	8.15e-211	583.0	COG2017@1|root,COG2017@2|Bacteria,1U26T@1239|Firmicutes,24AQ8@186801|Clostridia,3WN4W@541000|Ruminococcaceae	186801|Clostridia	G	Aldose 1-epimerase	-	-	-	-	-	-	-	-	-	-	-	-	Aldose_epim
MGYG000000022_01709	411483.FAEPRAA2165_00338	0.0	921.0	COG0624@1|root,COG0624@2|Bacteria,1TPEG@1239|Firmicutes,247SK@186801|Clostridia,3WHQP@541000|Ruminococcaceae	186801|Clostridia	E	Psort location Cytoplasmic, score	-	-	3.5.1.18	ko:K01439	ko00300,ko01100,ko01120,ko01230,map00300,map01100,map01120,map01230	M00016	R02734	RC00064,RC00090	ko00000,ko00001,ko00002,ko01000	-	-	-	M20_dimer,Peptidase_M20,Peptidase_M28
MGYG000000022_00402	411483.FAEPRAA2165_01035	2.71e-245	680.0	2DRD9@1|root,33BA4@2|Bacteria,1VQ0D@1239|Firmicutes,24UYQ@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_00740	411483.FAEPRAA2165_01812	0.0	1273.0	28N4Z@1|root,2ZBA9@2|Bacteria,1V60W@1239|Firmicutes,24HJB@186801|Clostridia,3WP63@541000|Ruminococcaceae	186801|Clostridia	S	Psort location CytoplasmicMembrane, score 10.00	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_00608	411483.FAEPRAA2165_03168	6.81e-172	482.0	COG0652@1|root,COG0652@2|Bacteria,1TRHW@1239|Firmicutes,24JYN@186801|Clostridia,3WRVX@541000|Ruminococcaceae	186801|Clostridia	M	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	-	-	5.2.1.8	ko:K03768	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	Pro_isomerase
MGYG000000022_01215	411483.FAEPRAA2165_02326	8.21e-213	587.0	COG1082@1|root,COG1082@2|Bacteria,1UYRD@1239|Firmicutes,2498N@186801|Clostridia	186801|Clostridia	G	TIM barrel	-	-	-	-	-	-	-	-	-	-	-	-	AP_endonuc_2
MGYG000000022_02533	411483.FAEPRAA2165_03313	2.36e-84	248.0	COG1396@1|root,COG1396@2|Bacteria,1V331@1239|Firmicutes,24G00@186801|Clostridia,3WJJ9@541000|Ruminococcaceae	186801|Clostridia	K	Helix-turn-helix	-	-	-	-	-	-	-	-	-	-	-	-	HTH_19,HTH_3
