sample	paper_title	paper_doi	genome	species	genus	family	order	class	phylum	phylum_group	completeness	contamination	country	continent	study_accession	source_eggnog_url
MGYG000000002	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000002	Blautia_A faecis	Blautia_A	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes_A	Firmicutes	99.37	0.0	United Kingdom	Europe	ERP105624	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000000/MGYG000000002/genome/MGYG000000002_eggNOG.tsv
MGYG000000003	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000003	Alistipes shahii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteroidota	100.0	0.0	United Kingdom	Europe	ERP105624	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000000/MGYG000000003/genome/MGYG000000003_eggNOG.tsv
MGYG000000004	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000004	Anaerotruncus colihominis	Anaerotruncus	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes_A	Firmicutes	98.66	0.22	United Kingdom	Europe	ERP105624	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000000/MGYG000000004/genome/MGYG000000004_eggNOG.tsv
MGYG000000013	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000013	Bacteroides sp902362375	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteroidota	99.08	0.08	United Kingdom	Europe	ERP105624	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000000/MGYG000000013/genome/MGYG000000013_eggNOG.tsv
MGYG000000022	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000022	Faecalibacterium prausnitzii_C	Faecalibacterium	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes_A	Firmicutes	100.0	0.0	United Kingdom	Europe	ERP105624	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000000/MGYG000000022/genome/MGYG000000022_eggNOG.tsv
MGYG000000076	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000076	Roseburia intestinalis	Roseburia	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes_A	Firmicutes	98.55	0.41	United Kingdom	Europe	ERP012217	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000000/MGYG000000076/genome/MGYG000000076_eggNOG.tsv
MGYG000000106	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000106	Enterococcus_D gallinarum	Enterococcus_D	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Firmicutes	99.25	0.0	Canada	North America	ERP105624	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000001/MGYG000000106/genome/MGYG000000106_eggNOG.tsv
MGYG000000215	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000215	Prevotella stercorea	Prevotella	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteroidota	97.9	0.0	China	Asia	PRJNA482748	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000002/MGYG000000215/genome/MGYG000000215_eggNOG.tsv
MGYG000000756	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000000756	Bifidobacterium sp002742445	Bifidobacterium	Bifidobacteriaceae	Actinomycetales	Actinomycetia	Actinobacteriota	Other	98.96	0.15	Bangladesh	Asia	ERP010229	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000007/MGYG000000756/genome/MGYG000000756_eggNOG.tsv
MGYG000001881	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000001881	Akkermansia muciniphila_A	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota	Other	97.96	0.0	Denmark	Europe	ERP003612	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000018/MGYG000001881/genome/MGYG000001881_eggNOG.tsv
MGYG000002323	Global landscape of antibiotic resistance genes in the human gut microbiome metagenome-assembled genomes	10.1186/s12866-025-04586-0	MGYG000002323	Escherichia sp000208585	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Other	99.89	0.04	not provided	not provided	PRJNA157617	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2/species_catalogue/MGYG0000023/MGYG000002323/genome/MGYG000002323_eggNOG.tsv
