feature	control_1	control_2	case_1	case_2
feoA	14	12	2	1
feoB	15	13	2	1
tonB	10	9	1	0
exbB	8	7	0	0
exbD	8	7	0	0
entA	12	11	1	0
entB	12	10	1	0
entC	11	10	0	0
fepA	9	8	0	0
bfr	7	7	4	4
fur	8	8	3	3
znuA	3	4	15	14
znuB	3	4	15	14
znuC	3	4	14	14
zinT	1	1	11	10
zur	2	2	7	7
mntH	2	2	10	11
mntA	1	1	8	8
mntB	1	1	8	8
mntC	1	1	8	8
mntR	1	1	5	5
copA	1	1	11	10
cusA	0	0	10	10
cusB	0	0	10	9
cueO	0	0	8	8
copZ	1	1	7	7
cbiL	0	0	9	9
cbiF	0	0	8	8
cbiC	0	0	8	8
cbiA	0	0	9	8
cobU	0	0	7	7
cobS	0	0	7	6
cobT	0	0	7	6
btuB	2	2	9	8
btuC	2	2	8	8
btuD	2	2	8	8
cbiM	1	1	7	7
cbiQ	1	1	7	7
cbiO	1	1	7	7
nikA	0	0	6	6
nikB	0	0	6	6
ureA	1	1	5	5
ureB	1	1	5	5
ureC	1	1	5	5
hypA	0	0	4	4
hypB	0	0	4	4
modA	1	1	8	8
modB	1	1	8	8
modC	1	1	8	8
moaA	1	1	7	7
moaC	1	1	7	7
moeA	1	1	7	7
mogA	1	1	7	7
mobA	1	1	7	7
selA	0	0	6	6
selB	0	0	6	6
selD	0	0	6	6
